"","SalePrice","LotArea","OverallCond","YearBuilt","CentralAir","KitchenAbvGr","KitchenQual","Fireplaces"
"1",208500,8450,5,2003,"Y",1,"Gd",1
"2",181500,9600,8,1976,"Y",1,"TA",1
"3",223500,11250,5,2001,"Y",1,"Gd",1
"4",250000,14260,5,2000,"Y",1,"Gd",1
"5",143000,14115,5,1993,"Y",1,"TA",1
"6",307000,10084,5,2004,"Y",1,"Gd",1
"7",200000,10382,6,1973,"Y",1,"TA",2
"8",118000,7420,6,1939,"Y",2,"TA",2
"9",129500,11200,5,1965,"Y",1,"TA",1
"10",144000,12968,6,1962,"Y",1,"TA",1
"11",157000,10920,5,1960,"Y",1,"TA",1
"12",132000,6120,8,1929,"Y",1,"TA",1
"13",149000,11241,7,1970,"Y",1,"TA",1
"14",90000,10791,5,1967,"Y",2,"TA",1
"15",159000,13695,5,2004,"Y",1,"Gd",1
"16",139400,7449,7,1930,"Y",1,"Gd",1
"17",230000,9742,5,2002,"Y",1,"Gd",1
"18",129900,4224,7,1976,"Y",1,"TA",1
"19",154000,8246,8,1968,"Y",1,"Gd",1
"20",256300,14230,5,2007,"Y",1,"Gd",1
"21",134800,7200,7,1951,"Y",1,"Gd",1
"22",306000,11478,5,2007,"Y",1,"Gd",1
"23",207500,16321,6,1957,"Y",1,"TA",2
"24",68500,6324,6,1927,"N",1,"Fa",1
"25",40000,8500,4,1920,"N",1,"TA",1
"26",149350,8544,6,1966,"Y",1,"Gd",1
"27",179900,11049,5,2007,"Y",1,"Gd",1
"28",165500,10552,5,1959,"Y",1,"Gd",1
"29",277500,7313,5,2005,"Y",1,"Ex",1
"30",309000,13418,5,2004,"Y",1,"Gd",1
"31",145000,10859,5,1994,"Y",1,"TA",1
"32",153000,8532,6,1954,"Y",1,"TA",1
"33",170000,16905,6,1959,"Y",1,"TA",2
"34",144000,9180,7,1983,"Y",1,"Gd",1
"35",130250,9200,6,1975,"Y",1,"TA",1
"36",141000,7945,6,1959,"Y",1,"TA",1
"37",319900,7658,5,2005,"Y",1,"Ex",1
"38",249700,11096,5,2006,"Y",1,"Gd",1
"39",127000,7742,7,1966,"Y",1,"TA",1
"40",177000,13869,6,1997,"Y",1,"TA",1
"41",114500,6240,6,1934,"Y",1,"TA",1
"42",110000,8472,5,1963,"N",1,"TA",1
"43",385000,50271,5,1981,"Y",1,"Gd",1
"44",130000,7134,5,1955,"Y",1,"TA",1
"45",180500,10175,5,1964,"Y",1,"TA",1
"46",196500,11645,5,2004,"Y",1,"Gd",1
"47",124900,7200,7,1972,"Y",1,"TA",1
"48",101000,7200,7,1920,"N",1,"Fa",1
"49",202500,6442,5,2006,"Y",1,"Gd",1
"50",140000,10300,6,1921,"Y",1,"TA",1
"51",219500,9375,5,1997,"Y",1,"Gd",1
"52",317000,9591,5,2004,"Y",1,"Gd",1
"53",180000,19900,5,1970,"Y",1,"TA",1
"54",226000,10665,5,2003,"Y",1,"Gd",1
"55",80000,4608,6,1945,"Y",1,"TA",1
"56",225000,15593,4,1953,"Y",1,"TA",1
"57",244000,13651,6,1973,"Y",1,"TA",2
"58",129500,7599,6,1982,"Y",1,"TA",1
"59",185000,10141,5,1998,"Y",1,"TA",1
"60",144900,10200,7,1954,"Y",1,"TA",1
"61",107400,5790,6,1915,"N",2,"TA",1
"62",91000,1596,5,1973,"Y",1,"TA",1
"63",135750,8475,7,1956,"Y",1,"TA",1
"64",127000,8635,5,1948,"Y",1,"TA",1
"65",136500,10778,5,1968,"N",2,"TA",1
"66",110000,10440,6,1910,"Y",1,"TA",1
"67",193500,13000,6,1968,"Y",1,"Gd",1
"68",153500,4500,5,1998,"Y",1,"TA",1
"69",245000,10206,5,2007,"Y",1,"Gd",1
"70",126500,8892,5,1960,"Y",1,"TA",1
"71",168500,8530,5,1995,"Y",1,"TA",1
"72",260000,16059,5,1991,"Y",1,"Gd",1
"73",174000,11911,5,2005,"Y",1,"Gd",1
"74",123600,8070,5,1994,"Y",1,"TA",1
"75",109900,7200,5,1950,"Y",1,"TA",1
"76",163500,13360,7,1921,"Y",1,"TA",1
"77",133900,7200,6,1910,"N",2,"TA",1
"78",204750,9337,5,1997,"Y",1,"Gd",1
"79",185000,9765,8,1993,"Y",1,"TA",1
"80",214000,10264,5,1999,"Y",1,"Gd",1
"81",94750,10921,5,1965,"Y",1,"TA",1
"82",128950,9320,5,1959,"Y",1,"TA",1
"83",205000,10603,7,1977,"Y",1,"Gd",2
"84",178000,9206,5,1985,"Y",1,"Gd",1
"85",198900,10402,5,2009,"Y",1,"Gd",1
"86",169500,7758,4,1931,"Y",1,"TA",2
"87",250000,9375,5,2003,"Y",1,"Gd",1
"88",100000,10800,7,1885,"Y",1,"TA",1
"89",115000,8500,7,1919,"N",1,"Fa",1
"90",190000,11751,6,1977,"Y",1,"TA",1
"91",136900,9525,4,1954,"Y",1,"TA",1
"92",180000,7750,5,2000,"Y",1,"TA",1
"93",259500,7259,8,1945,"Y",1,"Gd",1
"94",176000,3230,5,1999,"Y",1,"TA",1
"95",139000,11616,5,1962,"Y",1,"TA",1
"96",320000,12376,5,1990,"Y",1,"Gd",2
"97",180000,21453,5,1969,"Y",1,"TA",2
"98",100000,6060,5,1939,"Y",1,"TA",1
"99",136000,9464,7,1958,"Y",1,"TA",1
"100",153900,7892,5,1993,"Y",1,"Gd",1
"101",181000,17043,5,1979,"Y",1,"TA",1
"102",84500,6780,8,1935,"N",1,"TA",1
"103",128000,4928,5,1976,"Y",1,"TA",1
"104",87000,4388,7,1930,"Y",1,"TA",1
"105",155000,7590,5,1966,"Y",1,"TA",1
"106",226000,14200,6,1966,"Y",1,"Gd",2
"107",244000,12224,5,2000,"Y",1,"Gd",1
"108",150750,7388,6,1959,"Y",1,"Gd",1
"109",220000,6853,5,2001,"Y",1,"Gd",1
"110",180000,10335,6,1968,"Y",1,"TA",1
"111",174000,10400,6,1970,"Y",1,"TA",1
"112",143000,10355,5,1967,"Y",1,"TA",1
"113",230000,9066,5,1999,"Y",1,"Gd",2
"114",231500,15426,5,1997,"Y",1,"Gd",1
"115",115000,10500,5,1971,"Y",1,"TA",1
"116",260000,11645,5,2005,"Y",1,"Gd",1
"117",166000,8520,4,1952,"Y",1,"TA",1
"118",204000,10335,5,1999,"Y",1,"Gd",1
"119",130000,2522,5,2004,"Y",1,"Gd",1
"120",105000,6120,7,1931,"Y",1,"TA",1
"121",222500,9505,5,2001,"Y",1,"Gd",1
"122",141000,7500,5,2004,"Y",1,"Gd",1
"123",115000,6240,4,1936,"Y",1,"TA",1
"124",122000,10356,6,1975,"Y",1,"TA",1
"125",190000,14803,5,1971,"Y",1,"TA",1
"126",235000,13500,7,1960,"Y",1,"TA",1
"127",79000,9600,5,1924,"N",1,"TA",1
"128",109500,7200,7,1950,"Y",1,"TA",1
"129",254900,12552,5,2004,"Y",1,"Gd",1
"130",162500,11120,6,1984,"Y",1,"TA",1
"131",412500,13688,5,2003,"Y",1,"Ex",2
"132",103200,5500,6,1956,"Y",1,"TA",1
"133",152000,5400,7,1926,"Y",1,"Gd",1
"134",127500,10106,7,1940,"Y",2,"TA",1
"135",190000,10708,5,1955,"Y",1,"TA",3
"136",183500,8244,5,2004,"Y",1,"Gd",1
"137",228000,16669,6,1981,"Y",1,"TA",1
"138",128500,12358,6,1941,"Y",1,"TA",1
"139",215000,31770,5,1960,"Y",1,"TA",2
"140",239000,5306,7,1987,"Y",1,"Gd",1
"141",163000,10197,5,1961,"Y",1,"TA",1
"142",184000,12416,5,1986,"Y",1,"TA",1
"143",243000,12615,7,1950,"Y",1,"Gd",1
"144",211000,10029,5,1988,"Y",1,"TA",1
"145",172500,13650,5,1958,"Y",1,"Gd",1
"146",100000,8520,6,1923,"Y",1,"TA",1
"147",177000,2117,5,2000,"Y",1,"Gd",1
"148",200100,7588,6,1920,"Y",1,"TA",1
"149",120000,9060,6,1957,"Y",1,"TA",1
"150",200000,11426,5,2003,"Y",1,"Gd",1
"151",127000,7438,8,1908,"Y",1,"TA",1
"152",475000,22950,9,1892,"Y",1,"Ex",2
"153",173000,9947,5,1990,"Y",1,"Gd",1
"154",135000,10410,7,1916,"Y",1,"TA",1
"155",286000,4923,5,2001,"Y",1,"Ex",1
"156",315000,10570,8,1932,"Y",1,"Gd",2
"157",184000,7472,9,1972,"Y",1,"Gd",1
"158",192000,9017,5,1999,"Y",1,"Gd",1
"159",130000,2522,5,2004,"Y",1,"Gd",1
"160",127000,7180,7,1972,"Y",1,"TA",1
"161",148500,2280,6,1976,"Y",1,"TA",1
"162",274900,9591,5,2004,"Y",1,"Ex",1
"163",140000,8546,5,2003,"Y",1,"TA",1
"164",171500,10125,6,1977,"Y",1,"TA",2
"165",112000,7000,6,1924,"Y",1,"TA",1
"166",149000,4438,5,2004,"Y",1,"Gd",1
"167",110000,3500,7,1947,"Y",1,"TA",1
"168",180500,11851,5,1990,"Y",1,"TA",1
"169",143900,13673,5,1962,"Y",1,"TA",1
"170",141000,12493,5,1960,"Y",1,"TA",1
"171",277000,14364,5,1988,"Y",1,"TA",1
"172",145000,8250,7,1964,"Y",1,"TA",1
"173",98000,5604,6,1925,"N",1,"TA",1
"174",186000,10420,5,2009,"Y",1,"Gd",1
"175",156000,13568,5,1995,"Y",1,"TA",1
"176",161750,10900,7,1977,"Y",1,"TA",1
"177",134450,10011,6,1957,"Y",1,"Gd",1
"178",210000,8450,5,2004,"Y",1,"Gd",1
"179",311500,15660,9,1939,"Y",1,"Gd",2
"180",200000,8068,5,2002,"Y",1,"Gd",1
"181",179900,11475,6,1975,"Y",1,"TA",1
"182",386250,13472,5,2003,"Y",1,"Ex",1
"183",106000,1869,6,1970,"Y",1,"TA",1
"184",125000,8521,5,1967,"Y",1,"TA",1
"185",192500,3182,5,2005,"Y",1,"Gd",1
"186",148000,8760,6,1959,"Y",1,"TA",1
"187",403000,15138,5,1995,"Y",1,"Ex",1
"188",94500,1680,5,1972,"Y",1,"TA",1
"189",128200,10650,6,1976,"Y",1,"TA",1
"190",216500,7851,5,2002,"Y",1,"Gd",2
"191",89500,1680,3,1971,"Y",1,"TA",1
"192",185500,8773,5,2004,"Y",1,"Gd",1
"193",194500,9453,7,1993,"Y",1,"Gd",1
"194",113000,8741,4,1945,"Y",1,"TA",1
"195",262500,9000,5,2008,"Y",1,"Gd",1
"196",110500,3880,9,1945,"Y",1,"Gd",1
"197",79000,5000,4,1900,"N",1,"TA",1
"198",120000,10762,6,1980,"Y",1,"TA",1
"199",205000,8880,5,1994,"Y",1,"Gd",2
"200",241500,10400,5,1988,"Y",1,"TA",1
"201",137000,9142,8,1910,"N",2,"Fa",1
"202",140000,11310,5,1954,"Y",1,"TA",1
"203",180000,11317,5,2003,"Y",1,"Gd",1
"204",277000,159000,7,1958,"Y",1,"Gd",2
"205",76500,5350,2,1940,"Y",1,"Fa",1
"206",173000,8366,5,2004,"Y",1,"Gd",1
"207",158000,9350,7,1964,"Y",1,"Gd",1
"208",145000,8400,6,1957,"Y",1,"TA",1
"209",230000,8738,5,1999,"Y",1,"Gd",1
"210",207500,8791,5,2003,"Y",1,"Gd",1
"211",231500,12435,5,2001,"Y",1,"Gd",1
"212",97000,12702,5,1956,"Y",1,"TA",1
"213",176000,19296,5,1962,"Y",1,"TA",1
"214",151000,8471,7,1977,"Y",1,"TA",1
"215",130000,5500,7,1929,"Y",1,"TA",1
"216",73000,5232,5,1925,"N",1,"TA",1
"217",175500,12090,6,1981,"Y",1,"Gd",1
"218",185000,11207,5,1997,"Y",1,"TA",1
